Identifier,Title,ShortTitle,ValueType
CA-SAYIAPC,Percentage of adults with learning Disabilities who have an Independent Advocate,% of adults with LD with an Independent Advocate,ratio
CA-SAYKnown,The number of adults with Learning Disabilities Known to Local Authorities,Number of Adults With Learning disabilities,count
CA-SAYLAC,Adults with learning Disabilities receiving service from Local Area Co-ordinator,Adults with LD with an LAC,count
CA-SAYLACPC,Percentage of adults with Learning Disabilities getting service from Local Area Co-ordinator,% adults with LD getting service from LAC,ratio
CA-SAYNONOP,Number of adults with learning disabilities in non-open employment,Number of adults with LD in non-open employment,count
CA-SAYNONOPPC,Percentage of adults with learning disabilities in non-open employment,% of adults with LD in non-open employment,ratio
CA-SAYOPEN,Number of adults with learning disabilities in open employment,number of adults with LD in open employment,count
CA-SAYOPENPC,Percentage of adults with learning disabilities in open employment,% of adults with LD in open employment,ratio
CA-SAYPLP,Adults with learning Disabilities who have a Personal Life Plan,Adults with LD with a PLP,count
CA-SAYPLPPC,Percentage of adults with Learning Disabilities with a Personal Life Plan,% adults with LD with a PLP,ratio
CA-SAYTEN,Number of adults with learning disabilities living in their own tenancies,Adults with LD living in their own tenancies,count
CA-SAYTENPC,Percentage of adults with learning disabilities living in their own tenancies,% of adults with LD living in own tenancies,ratio
CA-SAYTRA,Number of adults with learning disabilities receiving employment training,Number of adults with LD in employment training,count
CA-SAYTRAPC,Percentage of adults with learning disabilities receiving employment training,% of adults with LD in employment training,ratio
CA-SAYVOL,Adults with learning disabilities in voluntary employment,Adults with LD in voluntary employment,count
CA-SAYVOLPC,Percentage of adults with learning disabilities in voluntary employment,% of adults with LD in Voluntary employment,ratio
CA-SWSNFEM,Number of female staff,Number of female staff,count
CA-SWSNFT,Number of full time staff,Number of full time staff,count
CA-SWSNMALE,Number of male staff,Number of male staff,count
CA-SWSNPT,Number of part time staff,Number of part time staff,count
CA-SWSNTOT,Total number of staff,Total number of staff,count
CA-SWSWFT,WTE of full time staff,WTE of full time staff,count
CA-SWSWPT,WTE of part time staff,WTE of part time staff,count
CA-SWSWTOT,Total WTE of staff,Total WTE of staff,count
CA-TotH1n,Total Number of Home Care Clients,Total Number of Home Care Clients,count
CR-breach_peace,Number of breaches of the peace recorded by the police,Breach of the peace recorded,count
CR-c_against_pers,Number of crimes against the person recorded by the police,Crimes against the person recorded,count
CR-c_against_prop,Number of crimes against property recorded by the police,Crimes against property recorded,count
CR-Cbreach_peace,Offences of breach of the peace cleared up by the police as a percentage of those recorded,Clear-up rate for breach of the peace,ratio
CR-Cc_against_pers,Crimes against the person cleared up by the police as a percentage of those recorded,Clear-up rate for crimes against the person,ratio
CR-Cc_against_prop,Crimes against property cleared up by the police as a percentage of those recorded,Clear-up rate for crimes against property,ratio
CR-Cdom_housebreak,Domestic housebreakings cleared up by the police as a percentage of those recorded,Clear-up rate for domestic housebreaking,ratio
CR-Cdrug_crimes,Drugs crimes cleared up by the police as a percentage of those recorded,Clear-up rate for drugs,ratio
CR-Cfireraising,Crimes of fire-raising cleared up by the police as a percentage of those recorded,Clear-up rate for fire-raising,ratio
CR-Cfrauds,Frauds cleared up by the police as a percentage of those recorded,Clear-up rate for fraud,ratio
CR-Cind_assault,Sexual assaults cleared up by the police as a percentage of those recorded,Clear-up rate for sexual assaults,ratio
CR-Clewd_lib,Crimes of prostitution cleared up by the police as a percentage of those recorded,Clear-up rate for prostitution,ratio
CR-Coff_weapon,Crimes of  handling an offensive weapon cleared up by the police as a percentage of those recorded,Clear-up rate for handling an offensive weapon,ratio
CR-Coth_dishonesty,Other crimes of dishonesty cleared up by the police as a percentage of those recorded,Clear-up rate for other dishonesty,ratio
CR-Coth_indecency,Other crimes of indecency cleared up by the police as a percentage of those recorded,Clear-up rate for other indecency,ratio
CR-Coth_oth_crimes,Other other crimes cleared up by the police as a percentage of those recorded,Clear-up rate for other other crimes,ratio
CR-Coth_theft,Other thefts cleared up by the police as a percentage of those recorded,Clear-up rate for other theft,ratio
CR-Coth_violence,Other non-sexual crimes of violence cleared up by the police as a percentage of those recorded,Clear-up rate for other violence,ratio
CR-Cpetty_assault,Offences of petty assault cleared up by the police as a percentage of those recorded,Clear-up rate for petty assault,ratio
CR-Cpublic_justice,Crimes against public justice cleared up by the police as a percentage of those recorded,Clear-up rate for crimes against public justice,ratio
CR-Crape_inc_att,Rapes and attempted rapes cleared up by the police as a percentage of those recorded,Clear-up rate for rape and attempted rape,ratio
CR-Crobbery,Robberies cleared up by the police as a percentage of those recorded,Clear-up rate for robbery,ratio
CR-Cser_assaults,Serious assaults cleared up by the police as a percentage of those recorded,Clear-up rate for serious assaults etc.,ratio
CR-Ctheft_mv_OLP,Thefts from a motor vehicle by OLP cleared up by the police as a percentage of those recorded,Clear-up rate for theft from a motor vehicle by OLP,ratio
CR-Ctheft_of_mv,Thefts of motor vehicles cleared up by the police as a percentage of those recorded,Clear-up rate for theft of a motor vehicle,ratio
CR-Ctheft_OLP,Thefts by opening a lockfast place (OLP) cleared up by the police as a percentage of those recorded,Clear-up rate for theft by opening a lockfast place (OLP),ratio
CR-Ctheft_shoplift,Shopliftings cleared up by the police as a percentage of those recorded,Clear-up rate for shoplifting,ratio
CR-Ctot_crime,Crimes cleared up by the police as a percentage of those recorded,Clear-up rate for total crimes,ratio
CR-Ctot_crime_off,Crimes and offences cleared up by the police as a percentage of those recorded,Clear-up rate for all crimes and offences recorded by the police,ratio
CR-Ctot_dishonesty,Crimes of dishonesty cleared up by the police as a percentage of those recorded,Clear-up rate for crimes of dishonesty,ratio
CR-Ctot_housebreak,Housebreakings cleared up by the police as a percentage of those recorded,Clear-up rate for housebreaking,ratio
CR-Ctot_indecency,Crimes of indecency cleared up by the police as a percentage of those recorded,Clear-up rate for crimes of indecency,ratio
CR-Ctot_oth_crimes,Other crimes cleared up by the police as a percentage of those recorded,Clear-up rate for other crimes,ratio
CR-Ctot_vandalism,Crimes of fire-raising and vandalism etc. cleared up by the police as a percentage of those recorded,"Clear-up rate for fire-raising,vandalism etc.",ratio
CR-Ctot_violence,Non-sexual crimes of violence cleared up by the police as a percentage of those recorded,Clear-up rate for non-sexual crimes of violence,ratio
CR-Cvandalism_etc,Vandalisms cleared up by the police as a percentage of those recorded,Clear-up rate for vandalism etc.,ratio
CR-dom_housebreak,Number of domestic housebreakings recorded by the police,Domestic housebreaking recorded,count
CR-drug_crimes,Number of drugs crimes recorded by the police,Drugs recorded,count
CR-fireraising,Number of crimes of fire-raising recorded by the police,Fire-raising recorded,count
CR-frauds,Number of frauds recorded by the police,Fraud recorded,count
CR-ind_assault,Number of sexual assaults recorded by the police,Sexual assaults recorded,count
CR-lewd_lib,Number of crimes of prostitution recorded by the police,Prostitution recorded,count
CR-off_weapon,Number of crimes of handling an offfensive weapon recorded by the police,Handling an offensive weapon recorded,count
CR-oth_dishonesty,Number of other crimes of dishonesty recorded by the police,Other dishonesty recorded,count
CR-oth_indecency,Number of other crimes of indecency recorded by the police,Other indecency recorded,count
CR-oth_oth_crimes,Number of other (other) crimes recorded by the police,Other other crimes recorded,count
CR-oth_theft,Number of other thefts recorded by the police,Other theft recorded,count
CR-oth_violence,Number of other crimes of violence recorded by the police,Other violence recorded,count
CR-Perceptcrime,Public perception of the general crime rate in the local area,Public perception of the general crime rate in the local area,count
CR-petty_assault,Number of offences of petty assault recorded by the police,Petty assault recorded,count
CR-prevdruguser,Estimated numbers of problem drug users (opiates and/or benzodiazeoines) : Scotland,Estimated numbers of problem drug users (opiates and/or benzodiazeoines) : Scotland,count
CR-prevvictim,Victimisation rates for personal and household crime,Victimisation rates for personal and household crime,count
CR-public_justice,Number of crimes against Public Justice recorded by the police,Crimes against public justice recorded,count
CR-rape_inc_att,Number of rapes and attempted rapes recorded by the police,Rape and attempted rape recorded,count
CR-Rbreach_peace,"Number of breaches of the peace recorded by the police per 10,000 population","Breach of the peace per 10,000 population.",ratio
CR-Rc_against_pers,"Number of crimes against the person recorded by the police per 10,000 population.","Crimes against the person per 10,000 population.",ratio
CR-Rc_against_prop,"Number of crimes against property recorded by the police per 10,000 population.","Crimes against property per 10,000 population.",ratio
CR-Rdom_housebreak,"Number of domestic housebreakings recorded by the police per 10,000 population","Domestic housebreaking per 10,000 population.",ratio
CR-Rdrug_crimes,"Number of drugs crimes recorded by the police per 10,000 population","Drugs per 10,000 population.",ratio
CR-recfem2125,Reconviction rates of female offenders aged 21 to 25 released from custody or given non-custodial sentences .,Reconviction rates females 21 to 25,count
CR-recfem2630,Reconviction rates of female offenders aged 26 to 30 released from custody or given non-custodial sentences .,Reconviction rates females 26 to 30,count
CR-recfemo30,Reconviction rates of female offenders aged over 30 released from custody or given non-custodial sentences .,Reconviction rates females over 30,count
CR-recfemu21,Reconviction rates of female offenders aged under 21 released from custody or given non-custodial sentences .,Reconviction rates females under 21,count
CR-recmal2125,Reconviction rates of male offenders aged 21 to 25 released from custody or given non-custodial sentences .,Reconviction rates males 21 to 25,count
CR-recmal2630,Reconviction rates of male offenders aged 26 to 30 released from custody or given non-custodial sentences .,Reconviction rates males 26 to 30,count
CR-recmalo30,Reconviction rates of male offenders aged over 30 released from custody or given non-custodial sentences .,Reconviction rates males over 30,count
CR-recmalu21,Reconviction rates of male offenders aged under 21 released from custody or given non-custodial sentences .,Reconviction rates males under 21,count
CR-reconage2125,Reconviction rates of offenders aged 21 to 25 released from custody or given non-custodial sentences.,Reconviction rates 21 to 25,count
CR-reconage2630,Reconviction rates of offenders aged 26 to 30 released from custody or given non-custodial sentences.,Reconviction rates 26 to 30,count
CR-reconageo30,Reconviction rates of offenders aged over 30 released from custody or given non-custodial sentences.,Reconviction rates over 30,count
CR-reconageu21,Reconviction rates of offenders aged under 21 released from custody or given non-custodial sentences.,Reconviction rates under 21,count
CR-reconfem,Reconviction rates of female offenders released from custody or given non-custodial sentences.,Reconviction rates female,count
CR-reconmale,Reconviction rates of male offenders released from custody or given non-custodial sentences.,Reconviction rates male,count
CR-Reconrates,Reconviction rates of offenders released from custody or given non-custodial sentences.,Reconviction rates,count
CR-Rfireraising,"Number of crimes of fire-raising recorded by the police per 10,000 population","Fire-raising per 10,000 population.",ratio
CR-Rfrauds,"Number of frauds recorded by the police per 10,000 population","Fraud per 10,000 population.",ratio
CR-Rind_assault,"Number of sexual assaults recorded by the police per 10,000 population.","Sexual assaults per 10,000 population.",ratio
CR-Rlewd_lib,"Number of crimes of prostitution recorded by the police per 10,000 population.","Prostitution per 10,000 population.",ratio
CR-robbery,Number of robberies recorded by the police,Robberies recorded,count
CR-Roff_weapon,"Number of crimes of handling an offfensive weapon recorded by the police per 10,000 population","Handling an offensive weapon per 10,000 population.",ratio
CR-Roth_dishonesty,"Number of other crimes of dishonesty recorded by the police per 10,000 population","Other dishonesty per 10,000 population.",ratio
CR-Roth_indecency,"Number of other crimes of indecency recorded by the police per 10,000 population.","Other indecency per 10,000 population.",ratio
CR-Roth_oth_crimes,"Number of other (other) crimes recorded by the police per 10,000 population","Other other crimes per 10,000 population.",ratio
CR-Roth_theft,"Number of other thefts recorded by the police per 10,000 population","Other theft per 10,000 population.",ratio
CR-Roth_violence,"Number of other crimes of violence recorded by the police per 10,000 population.","Other violence per 10,000 population.",ratio
CR-Rpetty_assault,"Number of offences of petty assault recorded by the police per 10,000 population","Petty assault per 10,000 population.",ratio
CR-Rpublic_justice,"Number of crimes against Public Justice recorded by the police per 10,000 population","Crimes against public justice per 10,000 population.",ratio
CR-Rrape_inc_att,"Number of rapes and attempted rapes recorded by the police per 10,000 population.","Rape and attempted rape per 10,000 population.",ratio
CR-Rrobbery,"Number of robberies recorded by the police per 10,000 population.","Robbery per 10,000 population.",ratio
CR-Rser_assaults,"Number of serious assaults recorded by the police per 10,000 population.","Serious assaults etc. per 10,000 population.",ratio
CR-Rtheft_mv_OLP,"Number of thefts from a motor vehicle by OLP recorded by the police per 10,000 population","Theft from a motor vehicle by OLP per 10,000 population.",ratio
CR-Rtheft_of_mv,"Number of thefts of a motor vehicle recorded by the police per 10,000 population","Theft of a motor vehicle per 10,000 population.",ratio
CR-Rtheft_OLP,"Number of thefts by opening lockfast places recorded by the police per 10,000 population","Theft by opening a lockfast place (OLP) per 10,000 population.",ratio
CR-Rtheft_shoplift,"Number of shopliftings recorded by the police per 10,000 population","Shoplifting per 10,000 population.",ratio
CR-Rtot_crime,"Number of crimes recorded by the police per 10,000 population.","Total crimes per 10,000 population.",ratio
CR-Rtot_crime_off,"Number of crimes and offences recorded by the police per 10,000 population","Total crimes and offences per 10,000 population",ratio
CR-Rtot_dishonesty,"Number of crimes of dishonesty recorded by the police per 10,000 population.","Crimes of dishonesty per 10,000 population.",ratio
CR-Rtot_housebreak,"Number of housebreakings recorded by the police per 10,000 population","Housebreaking per 10,000 population.",ratio
CR-Rtot_indecency,"Number of crimes of indecency recorded by the police per 10,000 population.","Crimes of indecency per 10,000 population.",ratio
CR-Rtot_oth_crimes,"Number of other crimes recorded by the police per 10,000 population.","Other crimes per 10,000 population.",ratio
CR-Rtot_vandalism,"Number of crimes of fire-raising, vandalism etc. recorded by the police per 10,000 population.","Fire-raising,vandalism etc. per 10,000 population.",ratio
CR-Rtot_violence,"Number of non-sexual crimes of violence recorded by the police per 10,000 population.","Non-sexual crimes of violence per 10,000 population.",ratio
CR-Rvandalism_etc,"Number of vandalisms recorded by the police per 10,000 population","Vandalism etc. per 10,000 population.",ratio
CR-ser_assaults,Number of serious assaults recorded by the police,Serious assaults etc. recorded,count
CR-SIMD_assaultno,Total number of SIMD minor assaults,Total no. of SIMD minor assaults,count
CR-SIMD_assaultrate,"Number of SIMD minor assaults per 10,000 of the population","No. SIMD minor assaults per 10,000",ratio
CR-SIMD_drugno,Total number of SIMD drug offences,Total no. of SIMD drug offences,count
CR-SIMD_drugrate,"Number of SIMD drug offences per 10,000 of the population","No. SIMD drug offences per 10,000",ratio
CR-SIMD_houseno,Total number of SIMD domestic housebreakings,Total no. of SIMD domestic housebreakings,count
CR-SIMD_houserate,"Number of SIMD domesic housebreakings per 10,000 of the population","No. SIMD domestic housebreakings per 10,000",ratio
CR-SIMD_vandalno,Total number of SIMD vandalisms etc,Total no. of SIMD vandalisms etc,count
CR-SIMD_vandalrate,"Number of SIMD vandalisms per 10,000 of the population","No. SIMD vandalisms per 10,000",ratio
CR-SIMD_violno,Total number of SIMD crimes of violence,Total no. of SIMD crimes of violence,count
CR-SIMD_violrate,"Number of SIMD crime of violence per 10,000 of the population","No. SIMD crimes of violence per 10,000",ratio
CR-SIMDCRIME_totno,Total number of SIMD crimes,Total no. of SIMD crimes,count
CR-SIMDCRIME_totrat,"Number of SIMD crimes per 10,000 of the population","No. SIMD crimes per 10,000",ratio
CR-theft_mv_OLP,Number of thefts from a motor vehicle by OLP recorded by the police,Theft from a motor vehicle by OLP  recorded,count
CR-theft_of_mv,Number of thefts of a motor vehicle recorded by the police,Theft of a motor vehicle recorded,count
CR-theft_OLP,Number of thefts by opening lockfast places recorded by the police,Theft by opening a lockfast place (OLP) recorded,count
CR-theft_shoplift,Number of shopliftings recorded by the police,Shoplifting recorded,count
CR-tot_crime,Number of crimes recorded by the police,Total crimes recorded,count
CR-tot_crime_off,Number of crimes and offences recorded by the police,Total crimes and offences recorded,count
CR-tot_dishonesty,Number of crimes of dishonesty recorded by the police,Crimes of dishonesty recorded,count
CR-tot_housebreak,Number of housebreakings recorded by the police,Housebreakings recorded,count
CR-tot_indecency,Number of crimes of indecency recorded by the police,Crimes of indecency recorded,count
CR-tot_oth_crimes,Number of other crimes recorded by the police,Other crimes recorded,count
CR-tot_vandalism,"Number of crimes of fire-raising, vandalism etc. recorded by the police","Fire-raising,vandalism etc. recorded",count
CR-tot_violence,Number of non-sexual crimes of violence recorded by the police,Non-sexual crimes of violence recorded,count
CR-TwentySixweeks,Percentage of summary criminal cases dealt with within 26 weeks,Percentage of summary criminal cases dealt with within 26 weeks,count
CR-vandalism_etc,Number of vandalisms recorded by the police,Vandalism etc. recorded,count
CS-AA_1to2yrs,Number of people claiming Attendance Allowance for 1 to 2 years,No. of people claiming AA for 1-2yrs,count
CS-AA_2to5yrs,Number of people claiming Attendance Allowance for 2 to 5 years,No. of people claiming AA for 2-5yrs,count
CS-AA_3to6mths,Number of people claiming Attendance Allowance for 3 to 6 months,No. of people claiming AA for 3-6mths,count
CS-AA_5yrsandover,Number of people claiming Attendance Allowance for 5 years and over,No. of people claiming AA for 5yrs plus,count
CS-AA_65to69,Number of Attendance Allowance claimants aged 65 to 69,Number of AA claimants aged 65-69,count
CS-AA_6to12mths,Number of people claiming Attendance Allowance for 6 to 12 months,No. of people claiming AA for 6-12mths,count
CS-AA_70to74,Number of Attendance Allowance claimants aged 70 to 74,Number of AA claimants aged 70-74,count
CS-AA_75to79,Number of Attendance Allowance claimants aged 75 to 79,Number of AA claimants aged 75-79,count
CS-AA_80to84,Number of Attendance Allowance claimants aged 80 to 84,Number of AA claimants aged 80-84,count
CS-AA_85to89,Number of Attendance Allowance claimants aged 85 to 89,Number of AA claimants aged 85-89,count
CS-AA_90andover,Number of Attendance Allowance claimants aged 90 and over,Number of AA claimants aged 90plus,count
CS-AA_female,Number of Female Attendance Allowance claimants,No. of Female AA claimants,count
CS-AA_highrate,Number of High Rate Attendance Allowance claimants,Number of High Rate Attendance Allowance claimants,count
CS-AA_lowrate,Number of Low Rate Attendance Allowance claimants,Number of Low Rate AA claimants,count
CS-AA_LT1yr,Number of people claiming Attendance Allowance for up to 1 year,No. of people claiming AA for up to 1yr,count
CS-AA_male,Number of Male Attendance Allowance claimants,No. of Male AA claimants,count
CS-AA_MDC_A,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Arthritis (A),Total No. of AA Claimants - Main Disabiling Condition: Arthritis,count
CS-AA_MDC_B,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Muscle / Joint / Bone Disease,Total No. of AA Claimants - Main Disabiling Condition: Muscle / Joint / Bone Disease,count
CS-AA_MDC_C,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Blindness,Total No. of AA Claimants - Main Disabiling Condition: Blindness,count
CS-AA_MDC_D,Total Number of Attendance Allowance Claimants - Main Disabiling Condition:  Stroke Related,Total No. of AA Claimants - Main Disabiling Condition: Stroke Related,count
CS-AA_MDC_E,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Learning Difficulty,Total No. of AA Claimants - Main Disabiling Condition: Learning Difficulty,count
CS-AA_MDC_F,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Mental Health Causes,Total No. of AA Claimants - Main Disabiling Condition: Mental Health Causes,count
CS-AA_MDC_G,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Eplilepsy,Total No. of AA Claimants - Main Disabiling Condition: Eplilepsy,count
CS-AA_MDC_H,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Deafness,Total No. of AA Claimants - Main Disabiling Condition: Deafness,count
CS-AA_MDC_I,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Malignant Disease,Total No. of AA Claimants - Main Disabiling Condition: Malignant Disease,count
CS-AA_MDC_J,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Chest Disease,Total No. of AA Claimants - Main Disabiling Condition:  Chest Disease,count
CS-AA_MDC_K,Total Number of Attendance Allowance Claimants  Main Disabiling Condition: Back Ailments,Total No. of AA Claimants - Main Disabiling Condition: Back Ailments,count
CS-AA_MDC_L,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Heart Disease,Total No. of AA Claimants - Main Disabiling Condition: Heart Disease,count
CS-AA_MDC_M,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Parkinsons Disease,Total No. of AA Claimants - Main Disabiling Condition: Parkinsons Disease,count
CS-AA_MDC_N,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Diabetes Mellitus,Total No. of AA Claimants - Main Disabiling Condition: Diabetes Mellitus,count
CS-AA_MDC_O,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Renal Disorders,Total No. of AA Claimants - Main Disabiling Condition: Renal Disorders,count
CS-AA_MDC_P,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Aids,Total No. of AA Claimants - Main Disabiling Condition: Aids,count
CS-AA_MDC_Q,total Number of Attendance Allowance Claimants - Main Disabiling Condition: Skin Disease,Total No. of AA Claimants - Main Disabiling Condition: Skin Disease,count
CS-AA_MDC_R,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Frailty,Total No. of AA Claimants - Main Disabiling Condition: Frailty,count
CS-AA_MDC_T,Total Number of Attendance Allowance Claimants - Main Disabiling Condition: Multiple Sclerosis,Total No. of AA Claimants - Main Disabiling Condition: Multiple Sclerosis,count
CS-AA_MDC_U,Total Number of Attendance Allowance Claimants  Main Disabiling Condition: Other,Total No. of AA Claimants - Main Disabiling Condition: Other,count
CS-AA_nilrate,Number of Nil Rate Attendance Allowance claimants,Number of Nil Rate AA claimants,count
CS-AA_total,Total number of Attendance Allowance claimants,Total number of AA claimants,count
CS-AA_upto3mths,Number of people claiming Attendance Allowance for upto 3 months,No. of people claiming AA for upto 3mths,count
CS-accdtrk,Geographic Access to Services (Drive Times) Deprivation Rank,Drive Times Deprivation rank,rank
CS-accdtvig,Geographic Access to Services (Drive Times) Deprivation Vigintile (twentieth's),Drive Times Deprivation Vigintile (twentieth's),rank
CS-accptrk,Geographic Access to Services (Public Transport) Deprivation Rank,Public Transport Deprivation Rank,rank
CS-accptvig,Geographic Access to Services (Public Transport) Deprivation Vigintile (twentieth's),Public Transport Deprivation Vigintile (twentieth's),rank
CS-accrk,Geographic Access to Services Deprivation Rank,Geographic Access to Services Deprivation Rank,rank
CS-accvig,Geographic Access to Services Deprivation Vigintile (twentieth's),Geographic Access to Services Deprivation Vigintile (twentieth's),rank
CS-allbirths,Births which were registered in the calendar year,Births registered in year,count
CS-allcarers,Number of people who provide unpaid care,Total no people provide unpaid care,count
CS-alldeaths,Deaths which were registered in the calendar year,Deaths registered in year,count
CS-alldeathsf,Female deaths which were registered in the calendar year,Female deaths registered in year,count
CS-alldeathsm,Male deaths which were registered in the calendar year,Male deaths registered in year,count
CS-allfemalecarers,Number of females who provide unpaid care,Total no Females provide unpaid care,count
CS-allmalecarers,Number of males who provide unpaid care,Total no males provide unpaid care,count
CS-AQdNO2dpopwtd1,Air Quality 2002-2004 - Nitrogen Dioxide concentration - Population weighted,NO2 concentration 2002-2004,ratio
CS-AQdPM10dpopwtd1,Air Quality 2002-2004 - PM10 concentration - Population weighted,PM10 concentration 2002-2004,ratio
CS-areaDZ,Datazone-Geographical Area,Datazone-Geographical Area,count
CS-areaIG,Intermediate Geography-Geographical Area,Intermediate Geography-Geographical Area,count
CS-areaLA,Local Authority-Geographical Area,Local Authority-Geographical Area,count
CS-birthsmidyear,Births which occurred from mid-previous year to mid-specified year,Births occurring mid-previous to mid-specified year,count
CS-BreedingBirds,Index of abundance of terrestrial breeding birds (1994=100),Index of abundance of terrestrial breeding birds (1994=100),count
CS-carers0to15,Number of people aged 0-15 who provide unpaid care,People 0-15 provide unpaid care,count
CS-carers1664,Number of people aged 16-64 who provide unpaid care,People 16-64 provide unpaid care,count
CS-carers65p,Number of people aged 65 & over who provide unpaid Number of males who provide unpaid care,People 65+ provide unpaid care,count
CS-cb11to15,CB: children aged 11-15,CB: children aged 11-15,count
CS-cb16plus,CB: children aged 16 and over,CB: children aged 16 and over,count
CS-cball,All claimants of child benefit,All claimants of child benefit,count
CS-cbfamiles,CB: Total number of families,CB: Total number of families,count
CS-cbfamiles2,CB: families with two children,CB: families with two children,count
CS-cbfamiles3,CB: families with three children,CB: families with three children,count
CS-cbfamiles3plus,Child Benefit: families with 3 or more children,CB: families with 3 or more children,count
CS-cbfamiles4,CB: families with four or more children,CB: families with four or more children,count
CS-cbfamilies1,CB: families with one child,CB: families with one child,count
CS-cbfemale,CB: girls,CB: girls,count
CS-cbmale,CB: boys,CB: boys,count
CS-cbnk,CB: gender not specified,CB: gender not specified,count
CS-cbunder5,CB: children aged under 5,CB: children aged under 5,count
CS-cd5to10,CB: children aged 5-10,CB: children aged 5-10,count
CS-CHILD_POV_R,Percentage of Children in Families in Receipt of CTC (less than 60% median income) or IS/JSA,Percentage of Children in Poverty,count
CS-Childcare_LP,All Lone Parents in work benefiting from Childcare Element,All Lone Parents in work benefiting from Childcare Element,count
CS-CIC_total,Comparative Illness Count,Comparative Illness Count,count
CS-CICrate_total,Comparative Illness Rate per 100000 of Total Population,Comparative Illness Rate per 100000 of Tot Pop,ratio
CS-CO2empercapita,LA Carbon Dioxide emissions per capita (tonnes),LA CO2 emissions per capita (tonnes),ratio
CS-co2ladomestic,Domestic carbon dioxide emissions (tonnes),Domestic CO2 emissions (tonnes),count
CS-CO2laem,LA Carbon Dioxide emissions (tonnes),LA CO2 emissions (tonnes),count
CS-CO2laind_comm,Industrial and commercial carbon dioxide emissions (tonnes),Industrial and commercial CO2 emissions (tonnes),count
CS-co2laroadtrans,Road transport carbon dioxide emissions (tonnes),Road transport CO2 emissions (tonnes),count
CS-coastalpercent,Percentage of dwellings that are located within the 1/200 coastal flood risk area.,% of dwellings in the coastal flood risk area.,ratio
CS-councilgoodR,Percentage of adults agreeing strongly or tending to agree with the statement 'My local council provides high quality services',% adults agreeing council high quality services,count
CS-councilmoneyR,Percentage of adults agreeing strongly or tending to agree with with the statement 'My local council does the best it can with the money available',% adults agreeing council does best can with money,count
CS-CP_tot_rate,Proportion of children in combined material deprivation and low income (below 70% of UK median income in the same year) in Scottish households,Proportion of children in combined material deprivation,ratio
CS-crimrk,Crime Deprivation Rank,Crime Deprivation Rank,rank
CS-crimvig,Crime Deprivation Vigintile (twentieth's),Crime Deprivation Vigintile (twentieth's),rank
CS-CSdSPRIdpctpop2,Population within 500m of a site on the Scottish Pollutant Release Inventory,Population within 500m of a site on the Scottish Pollutant Release Inventory,count
CS-CSdSPRIdpctpop4,Population within 1000m of a site on the Scottish Pollutant Release Inventory,Population within 1000m of a site on the Scottish Pollutant Release Inventory,count
CS-CSdSPRIdpctpop6,Population within 2000m of a site on the Scottish Pollutant Release Inventory,Population within 2000m of a site on the Scottish Pollutant Release Inventory,count
CS-CSdSPRIdpctpop8,Population over 2000m from a site on the Scottish Pollutant Release Inventory,Population over 2000m from a site on the Scottish Pollutant Release Inventory,count
CS-CTBcouples,Total number of Council Tax Benefit claimants who are a couple,Number of Council Tax Benefit claimants: Couples,count
CS-CTBOnly16to59,Total number of Council Tax Benefit Only claimants aged 16-59,Number of Council Tax Benefit Only claimants: Aged 16-59,count
CS-CTBOnly60plus,Total number of Council Tax Benefit Only claimants aged 60 and over,Number of Council Tax Benefit Only claimants: Aged 60 and over,count
CS-CTBOnlytotal,Total number of Council Tax Benefit Only claimants,Number of Council Tax Benefit Only claimants: Total,count
CS-CTBsinglesF,Total number of Council Tax Benefit claimants who are single females,Number of Council Tax Benefit claimants: Single Females,count
CS-CTBsinglesM,Total number of Council Tax Benefit claimants who are single males,Number of Council Tax Benefit claimants: Single Males,count
CS-CTBSingleUn,Total number of Council Tax Benefit claimants who are single with an unspecified gender,Number of Council Tax Benefit claimants: Singles (Gender Unknown),count
CS-CTBtotal,Total number of Council Tax Benefit claimants,Number of Council Tax Benefit claimants: Total,count
CS-CTC_Childcare,All families in work benefiting from Childcare Element.,All families in work benefiting from Childcare Element.,count
CS-CTC_FEbelowc,"All children in families in work receiving Child Tax Credits only, family element or below.",All children in families in work receiving CTC only family element or below,count
CS-CTC_FEonlyc,"All children in families in work receiving Child Tax Credits only, above family element.",All children in families in work receiving CTC only above family element,count
CS-CTC_inwrkFEbelow,"All families in work receiving Cchild Tax Credits only, family element or below","All families in work receiving CTC only, family element or below",count
CS-CTC_inwrkFEonly,"All families in work receiving Child Tax Credits only, above family element.","All families in work receiving CTC only, above family element.",count
